run,final_epoch,final_val_mae,final_val_rmse,final_train_mae,best_val_mae,best_epoch,best_val_rmse
Omat24-Muon-Firstk,40.0,0.0900736241340637,0.1212427497446132,0.0494141189157962,0.0900736241340637,40.0,0.1212427497446132
Omat24-Muon-Firstk-K2,40.0,0.0944,0.1274,0.059,0.0944,38.0,0.1276
Omat24-Baseline,40.0,0.0979077036380767,0.1308429853509462,0.045911168217659,0.0960364899635315,32.0,0.1272222907989237
Omat24-Muon-Firstk-K1,40.0,0.1006,0.1347,0.0542,0.1006,40.0,0.1347
Omat24-Muon-Lastk,40.0,0.1042,0.1385,0.0549,0.1017,37.0,0.1347
Omat24-Muon-No-Ortho,40.0,0.1213591313362121,0.1613720771179871,0.1155801662802696,0.1213591313362121,40.0,0.1613720771179871
Omat24-Muon,40.0,0.1646061766147613,0.2089519030575832,0.1149229922145605,0.1226013970375061,37.0,0.1607920515326508
